Time,X,Y,Yaw
1745187943.5209236,0.40835341811180115,1.693782925605774,1.6112477998653
1745187943.5542586,0.4083361327648163,1.6937932968139648,1.611164877881108
1745187943.5875905,0.40833181142807007,1.6937938928604126,1.6111812600767486
1745187943.6209252,0.40833595395088196,1.6937947273254395,1.6112024078921405
1745187943.6542616,0.40833336114883423,1.69379723072052,1.6111749434947915
1745187943.687596,0.4083276093006134,1.6937912702560425,1.6111628439880699
1745187943.7209203,0.40833336114883423,1.6937966346740723,1.6111786944436894
1745187943.7542567,0.4083267152309418,1.6937980651855469,1.611171809248397
1745187943.787592,0.4083292484283447,1.6937891244888306,1.6111868684625015
1745187943.820904,0.4083326756954193,1.6937884092330933,1.6111888949286328
1745187943.8542612,0.40833723545074463,1.6937922239303589,1.6111898328570464
1745187943.8875775,0.40833744406700134,1.693791389465332,1.6111998020158642
1745187943.9209023,0.4083322286605835,1.6937968730926514,1.6111951765180792
1745187943.9542348,0.4083373248577118,1.6937912702560425,1.6111974446143744
1745187943.9875796,0.40832725167274475,1.6937916278839111,1.6111816971358164
1745187944.0209048,0.40832796692848206,1.6937934160232544,1.611158356995023
1745187944.0542693,0.408327579498291,1.6937917470932007,1.6111555810605476
1745187944.0875812,0.40832963585853577,1.6937918663024902,1.611175259808501
1745187944.1209323,0.4083299934864044,1.6937921047210693,1.6111705149216966
1745187944.1542716,0.4083192050457001,1.6937901973724365,1.6111356686366274
1745187944.1876354,0.4083336889743805,1.6937929391860962,1.6111892815748843
1745187944.2209523,0.4083448052406311,1.69379460811615,1.6112208932987047
1745187944.254284,0.4083353877067566,1.6937930583953857,1.6111752544381661
1745187944.2876186,0.4083344638347626,1.693787932395935,1.6112110139699434
1745187944.320964,0.40833088755607605,1.6937931776046753,1.6111570608172803
1745187944.3542893,0.40832778811454773,1.6937905550003052,1.611188256703505
1745187944.387616,0.40833327174186707,1.6937901973724365,1.611189952569586
1745187944.420957,0.40833571553230286,1.693791151046753,1.611204403111238
1745187944.4542902,0.40833139419555664,1.6937878131866455,1.6111952356706678
1745187944.4876242,0.408329576253891,1.693788766860962,1.6111871791215788
1745187944.5209563,0.4083305895328522,1.6937919855117798,1.6111591440616302
1745187944.554278,0.4083349108695984,1.693793773651123,1.61120549178719
